"Year","Recipient country","ODA Grants","ODA Loans","Share","Donor"
"2022","Saint Lucia",1.237137,0,"0%","France"
"2018","Eritrea",0.525853,0,"0%","France"
"2019","Eritrea",0.463975,0,"0%","France"
"2020","Eritrea",0.418182,0,"0%","France"
"2021","Eritrea",0.64194,0,"0%","France"
"2022","Eritrea",1.156588,0,"0%","France"
"2018","Kyrgyzstan",0.810384,0,"0%","France"
"2019","Kyrgyzstan",0.697869,0,"0%","France"
"2020","Kyrgyzstan",0.706837,0,"0%","France"
"2021","Kyrgyzstan",1.696122,0,"0%","France"
"2022","Kyrgyzstan",1.079762,0,"0%","France"
"2018","Tonga",0,0,NA,"France"
"2019","Tonga",0.031609,0,"0%","France"
"2020","Tonga",0.053546,0,"0%","France"
"2021","Tonga",0.090278,0,"0%","France"
"2022","Tonga",0.943131,0,"0%","France"
"2018","Fiji",0.294574,0,"0%","France"
"2019","Fiji",0.395751,0,"0%","France"
"2020","Fiji",0.573817,0,"0%","France"
"2021","Fiji",0.64396,0,"0%","France"
"2022","Fiji",0.855166,0,"0%","France"
"2018","Malawi",0.173169,0,"0%","France"
"2019","Malawi",0.087156,0,"0%","France"
"2020","Malawi",0.269314,0,"0%","France"
"2021","Malawi",2.971367,0,"0%","France"
"2022","Malawi",0.473629,0,"0%","France"
"2018","Turkmenistan",0.744008,0,"0%","France"
"2019","Turkmenistan",0.704709,0,"0%","France"
"2020","Turkmenistan",0.399643,0,"0%","France"
"2021","Turkmenistan",0.433265,0,"0%","France"
"2022","Turkmenistan",0.431519,0,"0%","France"
"2018","Dominica",0.365875,0,"0%","France"
"2019","Dominica",0.577323,0,"0%","France"
"2020","Dominica",0.362128,0,"0%","France"
"2021","Dominica",0.260902,0,"0%","France"
"2022","Dominica",0.324306,0,"0%","France"
"2018","Sao Tome and Principe",0.628843,0,"0%","France"
"2019","Sao Tome and Principe",0.365125,0,"0%","France"
"2020","Sao Tome and Principe",0.859001,0,"0%","France"
"2021","Sao Tome and Principe",0.495244,0,"0%","France"
"2022","Sao Tome and Principe",0.316127,0,"0%","France"
"2018","Democratic People's Republic of Korea",1.845252,0,"0%","France"
"2019","Democratic People's Republic of Korea",1.692472,0,"0%","France"
"2020","Democratic People's Republic of Korea",0.810732,0,"0%","France"
"2021","Democratic People's Republic of Korea",0.404856,0,"0%","France"
"2022","Democratic People's Republic of Korea",0.309739,0,"0%","France"
"2018","Guyana",0.312379,0,"0%","France"
"2019","Guyana",0.219975,0,"0%","France"
"2020","Guyana",0.190221,0,"0%","France"
"2021","Guyana",0.764432,0,"0%","France"
"2022","Guyana",0.245179,0,"0%","France"
"2018","Lesotho",0.24798,0,"0%","France"
"2019","Lesotho",0.275679,0,"0%","France"
"2020","Lesotho",0.281024,0,"0%","France"
"2021","Lesotho",0.61355,0,"0%","France"
"2022","Lesotho",0.240135,0,"0%","France"
"2018","Timor-Leste",0.257383,0,"0%","France"
"2019","Timor-Leste",0.293207,0,"0%","France"
"2020","Timor-Leste",0.305432,0,"0%","France"
"2021","Timor-Leste",0.18212,0,"0%","France"
"2022","Timor-Leste",0.216364,0,"0%","France"
"2018","Tajikistan",0.195714,0,"0%","France"
"2019","Tajikistan",0.205561,0,"0%","France"
"2020","Tajikistan",0.122346,0,"0%","France"
"2021","Tajikistan",0.171869,0,"0%","France"
"2022","Tajikistan",0.195526,0,"0%","France"
"2018","Eswatini",0.271766,0,"0%","France"
"2019","Eswatini",0.6064,0,"0%","France"
"2020","Eswatini",0.267808,0,"0%","France"
"2021","Eswatini",0.145702,0,"0%","France"
"2022","Eswatini",0.184616,0,"0%","France"
"2018","Maldives",0.076003,0,"0%","France"
"2019","Maldives",0.077595,0,"0%","France"
"2020","Maldives",0.108129,0,"0%","France"
"2021","Maldives",0.130554,0,"0%","France"
"2022","Maldives",0.044895,0,"0%","France"
"2018","Grenada",0.006022,0,"0%","France"
"2019","Grenada",0.009853,0,"0%","France"
"2020","Grenada",0.015724,0,"0%","France"
"2021","Grenada",0.050621,0,"0%","France"
"2022","Grenada",0.044248,0,"0%","France"
"2018","States Ex-Yugoslavia unspecified",0,0,NA,"France"
"2019","States Ex-Yugoslavia unspecified",0.002136,0,"0%","France"
"2020","States Ex-Yugoslavia unspecified",0.000309,0,"0%","France"
"2021","States Ex-Yugoslavia unspecified",0.051975,0,"0%","France"
"2022","States Ex-Yugoslavia unspecified",0.03563,0,"0%","France"
"2018","Bhutan",0.025335,0,"0%","France"
"2019","Bhutan",0.041877,0,"0%","France"
"2020","Bhutan",0.01887,0,"0%","France"
"2021","Bhutan",0.040077,0,"0%","France"
"2022","Bhutan",0.023406,0,"0%","France"
"2018","Saint Vincent and the Grenadines",0.006022,0,"0%","France"
"2019","Saint Vincent and the Grenadines",0.011085,0,"0%","France"
"2020","Saint Vincent and the Grenadines",0.016474,0,"0%","France"
"2021","Saint Vincent and the Grenadines",0.165741,0,"0%","France"
"2022","Saint Vincent and the Grenadines",0.022436,0,"0%","France"
"2018","Papua New Guinea",0.052291,0,"0%","France"
"2019","Papua New Guinea",0.025865,0,"0%","France"
"2020","Papua New Guinea",0.016777,0,"0%","France"
"2021","Papua New Guinea",0.083957,0,"0%","France"
"2022","Papua New Guinea",0.011439,0,"0%","France"
"2018","Belize",0.019313,0,"0%","France"
"2019","Belize",0.025865,0,"0%","France"
"2020","Belize",0.016922,0,"0%","France"
"2021","Belize",0,0,NA,"France"
"2022","Belize",0.006323,0,"0%","France"
"2018","Solomon Islands",0.030078,0,"0%","France"
"2019","Solomon Islands",0.025135,0,"0%","France"
"2020","Solomon Islands",0.002093,0,"0%","France"
"2021","Solomon Islands",0,0,NA,"France"
"2022","Solomon Islands",0.000559,0,"0%","France"
"2018","Palau",0,0,NA,"France"
"2019","Palau",0,0,NA,"France"
"2020","Palau",0,0,NA,"France"
"2021","Palau",0,0,NA,"France"
"2022","Palau",0.00028,0,"0%","France"
"2018","Antigua and Barbuda",0.012043,0,"0%","France"
"2019","Antigua and Barbuda",0.027097,0,"0%","France"
"2020","Antigua and Barbuda",0.049119,0,"0%","France"
"2021","Antigua and Barbuda",0,0,NA,"France"
"2022","Antigua and Barbuda",0,0,NA,"France"
"2018","China (People's Republic of)",125.134177,43.063045,"2%","France"
"2019","China (People's Republic of)",106.245951,91.766226,"2%","France"
"2020","China (People's Republic of)",108.594108,97.183394,"1%","France"
"2021","China (People's Republic of)",0,0,NA,"France"
"2022","China (People's Republic of)",0,0,NA,"France"
"2018","Cook Islands",0,0,NA,"France"
"2019","Cook Islands",0,0,NA,"France"
"2020","Cook Islands",0,0,NA,"France"
"2021","Cook Islands",0,0,NA,"France"
"2022","Cook Islands",0,0,NA,"France"
"2018","Kiribati",0,0,NA,"France"
"2019","Kiribati",0.004927,0,"0%","France"
"2020","Kiribati",0.005241,0,"0%","France"
"2021","Kiribati",0,0,NA,"France"
"2022","Kiribati",0,0,NA,"France"
"2018","Marshall Islands",0,0,NA,"France"
"2019","Marshall Islands",0.004927,0,"0%","France"
"2020","Marshall Islands",0,0,NA,"France"
"2021","Marshall Islands",0,0,NA,"France"
"2022","Marshall Islands",0,0,NA,"France"
"2018","Micronesia",0,0,NA,"France"
"2019","Micronesia",0,0,NA,"France"
"2020","Micronesia",0,0,NA,"France"
"2021","Micronesia",0,0,NA,"France"
"2022","Micronesia",0,0,NA,"France"
"2018","Samoa",0,0,NA,"France"
"2019","Samoa",0,0,NA,"France"
"2020","Samoa",0,0,NA,"France"
"2021","Samoa",0.005913,0,"0%","France"
"2022","Samoa",0,0,NA,"France"
"2018","Tuvalu",0.006022,0,"0%","France"
"2019","Tuvalu",0.004927,0,"0%","France"
"2020","Tuvalu",0,0,NA,"France"
"2021","Tuvalu",0,0,NA,"France"
"2022","Tuvalu",0,0,NA,"France"
