"","Year","Sector","climate-related ODA to","Share","Donor"
"50","2021","Water and sanitation",1.07378,"0.0111914957389551%","Ireland"
"51","2017","Conflict, peace and security",0,"0%","Ireland"
"52","2018","Conflict, peace and security",0,"0%","Ireland"
"53","2019","Conflict, peace and security",0,"0%","Ireland"
"54","2020","Conflict, peace and security",0.686744,"0.00803447919676454%","Ireland"
"55","2021","Conflict, peace and security",0.260436,"0.00271439995555003%","Ireland"
"56","2017","Energy",0.032462,"0.000330471342106912%","Ireland"
"57","2018","Energy",0.023421,"0.00032290619268341%","Ireland"
"58","2019","Energy",5.796659,"0.0545485561948912%","Ireland"
"59","2020","Energy",1.740171,"0.0203589222451349%","Ireland"
"60","2021","Energy",0.076899,"0.000801481523989931%","Ireland"
"61","2017","Industry, construction & mining",0.011805,"0.000120177875472001%","Ireland"
"62","2018","Industry, construction & mining",0,"0%","Ireland"
"63","2019","Industry, construction & mining",0.364404,"0.00342916705496099%","Ireland"
"64","2020","Industry, construction & mining",0.039905,"0.000466863769245729%","Ireland"
"65","2021","Industry, construction & mining",0.068625,"0.000715245576454947%","Ireland"
"66","2017","Financial services and business support",0.835169,"0.00850223092588527%","Ireland"
"67","2018","Financial services and business support",0,"0%","Ireland"
"68","2019","Financial services and business support",0.2858,"0.00268947636224589%","Ireland"
"69","2020","Financial services and business support",0,"0%","Ireland"
"70","2021","Financial services and business support",0.026661,"0.000277874860675634%","Ireland"
"71","2017","Donor administration costs",0,"0%","Ireland"
"72","2018","Donor administration costs",0,"0%","Ireland"
"73","2019","Donor administration costs",0.157692,"0.00148393599200587%","Ireland"
"74","2020","Donor administration costs",0,"0%","Ireland"
"75","2021","Donor administration costs",0,"0%","Ireland"
"76","2017","Food aid and commodity assistance",0.767294,"0.00781124631786646%","Ireland"
"77","2018","Food aid and commodity assistance",0,"0%","Ireland"
"78","2019","Food aid and commodity assistance",0.562598,"0.00529424080632195%","Ireland"
"79","2020","Food aid and commodity assistance",0,"0%","Ireland"
"80","2021","Food aid and commodity assistance",0,"0%","Ireland"
"81","2017","Infrastructure",0,"0%","Ireland"
"82","2018","Infrastructure",0,"0%","Ireland"
"83","2019","Infrastructure",0,"0%","Ireland"
"84","2020","Infrastructure",0,"0%","Ireland"
"85","2021","Infrastructure",0,"0%","Ireland"
"86","2017","Trade policy",0,"0%","Ireland"
"87","2018","Trade policy",0,"0%","Ireland"
"88","2019","Trade policy",1.125197,"0.0105884910229881%","Ireland"
"89","2020","Trade policy",0,"0%","Ireland"
"90","2021","Trade policy",0,"0%","Ireland"
