"","Year","Sector","Gender-related ODA to","Share","Donor"
"29","2020","Other social services",26.274219,"7.60985661402%","Ireland"
"30","2021","Other social services",17.340603,"4.86724129141733%","Ireland"
"31","2017","Environmental protection",6.080545,"1.6121926049303%","Ireland"
"32","2018","Environmental protection",6.238591,"1.7902420013751%","Ireland"
"33","2019","Environmental protection",6.365516,"1.79846181568191%","Ireland"
"34","2020","Environmental protection",6.446751,"1.86718588043626%","Ireland"
"35","2021","Environmental protection",11.303717,"3.17277998515369%","Ireland"
"36","2017","Conflict, peace & security",7.373859,"1.95510122030159%","Ireland"
"37","2018","Conflict, peace & security",10.246066,"2.94023725903195%","Ireland"
"38","2019","Conflict, peace & security",11.917259,"3.36700673741007%","Ireland"
"39","2020","Conflict, peace & security",10.46159,"3.03001203783319%","Ireland"
"40","2021","Conflict, peace & security",9.408135,"2.64071919224658%","Ireland"
"41","2017","Unspecified",10.121388,"2.68357966024925%","Ireland"
"42","2018","Unspecified",4.196489,"1.20423519767662%","Ireland"
"43","2019","Unspecified",4.457698,"1.25944222571142%","Ireland"
"44","2020","Unspecified",8.982057,"2.60149182241933%","Ireland"
"45","2021","Unspecified",9.380684,"2.63301411759083%","Ireland"
"46","2017","Other multisector",5.976923,"1.58471832061728%","Ireland"
"47","2018","Other multisector",7.686569,"2.20575746515003%","Ireland"
"48","2019","Other multisector",20.581904,"5.81504601324242%","Ireland"
"49","2020","Other multisector",13.552337,"3.92519151015975%","Ireland"
"50","2021","Other multisector",8.981896,"2.52108044261299%","Ireland"
"51","2017","Water and sanitation",4.763842,"1.26308264200929%","Ireland"
"52","2018","Water and sanitation",4.575928,"1.31311998187866%","Ireland"
"53","2019","Water and sanitation",1.932498,"0.545992479145707%","Ireland"
"54","2020","Water and sanitation",1.629377,"0.471919844322759%","Ireland"
"55","2021","Water and sanitation",1.810282,"0.50811839124104%","Ireland"
"56","2017","Trade policy",0.202689,"0.0537408582455549%","Ireland"
"57","2018","Trade policy",0.707359,"0.202985544628697%","Ireland"
"58","2019","Trade policy",1.936834,"0.547217537794966%","Ireland"
"59","2020","Trade policy",2.470846,"0.715636258315608%","Ireland"
"60","2021","Trade policy",1.403555,"0.393956360731818%","Ireland"
"61","2017","Financial services & business support",1.466897,"0.388932323598368%","Ireland"
"62","2018","Financial services & business support",0.824445,"0.236584842126002%","Ireland"
"63","2019","Financial services & business support",1.345641,"0.380186611127209%","Ireland"
"64","2020","Financial services & business support",1.175913,"0.340582124270263%","Ireland"
"65","2021","Financial services & business support",0.606565,"0.170253491988056%","Ireland"
"66","2017","Industry, construction & mining",1.671482,"0.443175886318431%","Ireland"
"67","2018","Industry, construction & mining",0.946696,"0.27166630121029%","Ireland"
"68","2019","Industry, construction & mining",0.70642,"0.199586238701469%","Ireland"
"69","2020","Industry, construction & mining",0.108063,"0.0312985111101054%","Ireland"
"70","2021","Industry, construction & mining",0.495484,"0.139074759051725%","Ireland"
"71","2017","Food aid and commodity assistance",0.798505,"0.211715209080743%","Ireland"
"72","2018","Food aid and commodity assistance",0,"0%","Ireland"
"73","2019","Food aid and commodity assistance",0.590838,"0.166930627816169%","Ireland"
"74","2020","Food aid and commodity assistance",0.639055,"0.185090826809069%","Ireland"
"75","2021","Food aid and commodity assistance",0.141911,"0.0398322410648767%","Ireland"
"76","2017","Energy",0.15253,"0.0404417265278061%","Ireland"
"77","2018","Energy",0.080767,"0.0231771045297028%","Ireland"
"78","2019","Energy",0.068851,"0.0194526091005844%","Ireland"
"79","2020","Energy",0.032071,"0.00928879033352944%","Ireland"
"80","2021","Energy",0.041391,"0.0116178188436155%","Ireland"
"81","2017","Tourism",0.008599,"0.00227993448116832%","Ireland"
"82","2018","Tourism",0,"0%","Ireland"
"83","2019","Tourism",0,"0%","Ireland"
"84","2020","Tourism",0,"0%","Ireland"
"85","2021","Tourism",0.024134,"0.00677404363199283%","Ireland"
"86","2017","Infrastructure",0.028805,"0.0076373430317541%","Ireland"
"87","2018","Infrastructure",0.036318,"0.0104219060050484%","Ireland"
"88","2019","Infrastructure",0.009291,"0.00262500459185094%","Ireland"
"89","2020","Infrastructure",0.02668,"0.00772738380775671%","Ireland"
"90","2021","Infrastructure",0.019039,"0.00534395527925382%","Ireland"
"91","2017","Donor administration costs",0,"0%","Ireland"
"92","2018","Donor administration costs",0,"0%","Ireland"
"93","2019","Donor administration costs",0,"0%","Ireland"
"94","2020","Donor administration costs",0.026,"0.00753043399556501%","Ireland"
"95","2021","Donor administration costs",0,"0%","Ireland"
