"","Year","Sector","Bilateral ODA for","Share","Donor"
"44",2018,"Malaria control",1.218743,"1.70820481660881%","Ireland"
"45",2019,"Malaria control",1.181675,"1.5492928496046%","Ireland"
"46",2020,"Malaria control",1.187793,"1.38771226935544%","Ireland"
"47",2021,"Malaria control",1.182592,"1.19929614449643%","Ireland"
"48",2017,"Tuberculosis control",1.228469,"1.56040216433559%","Ireland"
"49",2018,"Tuberculosis control",1.218743,"1.70820481660881%","Ireland"
"50",2019,"Tuberculosis control",1.181675,"1.5492928496046%","Ireland"
"51",2020,"Tuberculosis control",1.187793,"1.38771226935544%","Ireland"
"52",2021,"Tuberculosis control",1.182592,"1.19929614449643%","Ireland"
"53",2017,"Health personnel development",0.70124,"0.890715527798171%","Ireland"
"54",2018,"Health personnel development",0.878599,"1.23145490367344%","Ireland"
"55",2019,"Health personnel development",1.012015,"1.32685180205437%","Ireland"
"56",2020,"Health personnel development",0.994939,"1.16239871556764%","Ireland"
"57",2021,"Health personnel development",0.946613,"0.959983934636965%","Ireland"
"58",2019,"Population policy and administrative management",1.343347,"1.76126083875667%","Ireland"
"59",2020,"Population policy and administrative management",0.593896,"0.69385555052195%","Ireland"
"60",2021,"Population policy and administrative management",0.295648,"0.299824036124107%","Ireland"
"61",2017,"Reproductive health care",2.150234,"2.73122869802004%","Ireland"
"62",2018,"Reproductive health care",0.513231,"0.719350729590206%","Ireland"
"63",2019,"Reproductive health care",3.147198,"4.12628798755148%","Ireland"
"64",2020,"Reproductive health care",4.125729,"4.82013680273882%","Ireland"
"65",2021,"Reproductive health care",2.124698,"2.15470941763455%","Ireland"
"66",2017,"Family planning",0.088834,"0.11283700758146%","Ireland"
"67",2018,"Family planning",1.280184,"1.79432125964665%","Ireland"
"68",2019,"Family planning",0.031787,"0.0416759022661742%","Ireland"
"69",2020,"Family planning",0.041573,"0.0485702156637678%","Ireland"
"70",2021,"Family planning",0.026963,"0.0273438531159159%","Ireland"
"71",2017,"STD control including HIV/AIDS",7.54586,"9.58475653498246%","Ireland"
"72",2018,"STD control including HIV/AIDS",8.343276,"11.6940357807156%","Ireland"
"73",2019,"STD control including HIV/AIDS",8.060864,"10.5685903119175%","Ireland"
"74",2020,"STD control including HIV/AIDS",3.207858,"3.74777752095694%","Ireland"
"75",2021,"STD control including HIV/AIDS",2.258941,"2.29084860369841%","Ireland"
"76",2017,"Personnel development for population and reproductive health",0.029344,"0.0372727688775733%","Ireland"
"77",2018,"Personnel development for population and reproductive health",0.022471,"0.0314956233053372%","Ireland"
"78",2019,"Personnel development for population and reproductive health",0.051877,"0.0680158801353484%","Ireland"
"79",2020,"Personnel development for population and reproductive health",0.030408,"0.0355260173166202%","Ireland"
"80",2021,"Personnel development for population and reproductive health",0.00544,"0.00551684014948568%","Ireland"
"81",2021,"Control of harmful use of alcohol and drugs",0.018575,"0.0188373723854222%","Ireland"
"82",2020,"Promotion of mental health and well-being",0.023756,"0.0277544089507245%","Ireland"
"83",2021,"Promotion of mental health and well-being",0.011826,"0.0119930425749665%","Ireland"
"84",2021,"Other prevention and treatment of NCDs",0.295648,"0.299824036124107%","Ireland"
"85",2020,"COVID-19 control",16.080609,"18.7871610693172%","Ireland"
"86",2021,"COVID-19 control",38.666169,"39.2123296996321%","Ireland"
