"Year","Sector","Bilateral ODA for","Share","Donor"
"2018","Industry, construction & mining",5.724568,"1%","Finland"
"2019","Industry, construction & mining",33.640028,"5%","Finland"
"2020","Industry, construction & mining",7.725172,"1%","Finland"
"2021","Industry, construction & mining",6.565624,"1%","Finland"
"2017","Trade policy",4.7461,"1%","Finland"
"2018","Trade policy",7.664606,"1%","Finland"
"2019","Trade policy",4.588554,"1%","Finland"
"2020","Trade policy",4.80219,"1%","Finland"
"2021","Trade policy",5.618762,"1%","Finland"
"2017","Infrastructure",9.305274,"1%","Finland"
"2018","Infrastructure",20.214693,"4%","Finland"
"2019","Infrastructure",1.808464,"0%","Finland"
"2020","Infrastructure",1.058538,"0%","Finland"
"2021","Infrastructure",3.291613,"0%","Finland"
"2017","Food aid and commodity assistance",0.053334,"0%","Finland"
"2018","Food aid and commodity assistance",0.015092,"0%","Finland"
"2019","Food aid and commodity assistance",0.011261,"0%","Finland"
"2020","Food aid and commodity assistance",0.081123,"0%","Finland"
"2021","Food aid and commodity assistance",0.053198,"0%","Finland"
"2017","Debt relief",0,"0%","Finland"
"2018","Debt relief",0,"0%","Finland"
"2019","Debt relief",0,"0%","Finland"
"2020","Debt relief",3.638159,"1%","Finland"
"2021","Debt relief",0,"0%","Finland"
"2017","General budget support",0,"0%","Finland"
"2018","General budget support",0,"0%","Finland"
"2019","General budget support",0,"0%","Finland"
"2020","General budget support",0,"0%","Finland"
"2021","General budget support",0,"0%","Finland"
"2017","Tourism",2.114865,"0%","Finland"
"2018","Tourism",6.187222,"1%","Finland"
"2019","Tourism",0.04581,"0%","Finland"
"2020","Tourism",0,"0%","Finland"
"2021","Tourism",0,"0%","Finland"
