"Year","Sector","Gender-related ODA to","Share","Donor"
"2021","Food aid and commodity assistance",0.141911,"0.000398322410648767%","Ireland"
"2017","Energy",0.15253,"0.000404417265278061%","Ireland"
"2018","Energy",0.080767,"0.000231771045297028%","Ireland"
"2019","Energy",0.068851,"0.000194526091005844%","Ireland"
"2020","Energy",0.032071,"0.0000928879033352944%","Ireland"
"2021","Energy",0.041391,"0.000116178188436155%","Ireland"
"2017","Tourism",0.008599,"0.0000227993448116832%","Ireland"
"2018","Tourism",0,"0%","Ireland"
"2019","Tourism",0,"0%","Ireland"
"2020","Tourism",0,"0%","Ireland"
"2021","Tourism",0.024134,"0.0000677404363199283%","Ireland"
"2017","Infrastructure",0.028805,"0.000076373430317541%","Ireland"
"2018","Infrastructure",0.036318,"0.000104219060050484%","Ireland"
"2019","Infrastructure",0.009291,"0.0000262500459185094%","Ireland"
"2020","Infrastructure",0.02668,"0.0000772738380775671%","Ireland"
"2021","Infrastructure",0.019039,"0.0000534395527925382%","Ireland"
"2017","Donor administration costs",0,"0%","Ireland"
"2018","Donor administration costs",0,"0%","Ireland"
"2019","Donor administration costs",0,"0%","Ireland"
"2020","Donor administration costs",0.026,"0.0000753043399556501%","Ireland"
"2021","Donor administration costs",0,"0%","Ireland"
