donor,year,deflator
Netherlands,1963,8.08
New Zealand,1963,9.61
Norway,1963,6.46
Poland,1963,12.83
Portugal,1963,8.58
Slovak Republic,1963,
Slovenia,1963,12.83
Spain,1963,7.11
Sweden,1963,13.95
Switzerland,1963,5.52
United Kingdom,1963,10.28
United States,1963,13.59
TOTAL DAC ,1963,12.83
EU Institutions,1963,10.5
Australia,1964,9.48
Austria,1964,8.1
Belgium,1964,10.9
Canada,1964,11.89
Czechia,1964,
Denmark,1964,6.5
Estonia,1964,
Finland,1964,11.82
France,1964,13.58
Germany,1964,15.19
Greece,1964,12.53
Hungary,1964,13.12
Iceland,1964,10.85
Ireland,1964,9.25
Italy,1964,10.34
Japan,1964,11.38
Korea,1964,
Lithuania,1964,
Luxembourg,1964,7.8
Netherlands,1964,8.78
New Zealand,1964,9.96
Norway,1964,6.76
Poland,1964,13.12
Portugal,1964,8.71
Slovak Republic,1964,
Slovenia,1964,13.12
Spain,1964,7.64
Sweden,1964,14.66
Switzerland,1964,5.82
United Kingdom,1964,10.62
United States,1964,13.8
TOTAL DAC ,1964,13.12
EU Institutions,1964,11.0
Australia,1965,9.73
Austria,1965,8.55
Belgium,1965,11.49
Canada,1965,12.34
Czechia,1965,
Denmark,1965,10.49
Estonia,1965,
Finland,1965,12.41
France,1965,13.99
Germany,1965,15.67
Greece,1965,13.05
Hungary,1965,13.44
Iceland,1965,12.22
Ireland,1965,9.68
Italy,1965,10.77
Japan,1965,12.0
Korea,1965,
Lithuania,1965,
Luxembourg,1965,8.04
Netherlands,1965,9.31
New Zealand,1965,10.38
Norway,1965,7.09
Poland,1965,13.44
Portugal,1965,9.06
Slovak Republic,1965,
Slovenia,1965,13.44
Spain,1965,8.34
Sweden,1965,15.52
Switzerland,1965,6.03
United Kingdom,1965,11.26
United States,1965,14.05
TOTAL DAC ,1965,13.44
EU Institutions,1965,11.46
Australia,1966,10.06
Austria,1966,8.85
Belgium,1966,11.92
Canada,1966,12.96
Czechia,1966,
Denmark,1966,9.64
Estonia,1966,
Finland,1966,12.99
France,1966,14.37
Germany,1966,16.2
Greece,1966,13.69
Hungary,1966,13.77
Iceland,1966,13.5
Ireland,1966,10.1
Italy,1966,11.02
Japan,1966,12.61
Korea,1966,
Lithuania,1966,
Luxembourg,1966,8.32
Netherlands,1966,9.8
New Zealand,1966,9.8
Norway,1966,7.37
Poland,1966,13.77
Portugal,1966,9.54
Slovak Republic,1966,
Slovenia,1966,13.77
Spain,1966,9.01
Sweden,1966,16.44
Switzerland,1966,6.32
United Kingdom,1966,11.85
United States,1966,14.44
TOTAL DAC ,1966,13.77
EU Institutions,1966,11.87
Australia,1967,10.38
Austria,1967,9.16
Belgium,1967,12.34
Canada,1967,13.52
Czechia,1967,
Denmark,1967,9.96
Estonia,1967,
Finland,1967,13.1
France,1967,14.78
Germany,1967,16.5
Greece,1967,13.99
Hungary,1967,14.04
Iceland,1967,13.5
Ireland,1967,10.24
Italy,1967,11.33
Japan,1967,13.31
Korea,1967,
Lithuania,1967,
Luxembourg,1967,8.38
Netherlands,1967,10.23
New Zealand,1967,10.37
Norway,1967,7.59
Poland,1967,14.04
Portugal,1967,9.9
Slovak Republic,1967,
Slovenia,1967,14.04
Spain,1967,9.6
Sweden,1967,17.36
Switzerland,1967,6.6
United Kingdom,1967,11.98
United States,1967,14.86
TOTAL DAC ,1967,14.04
EU Institutions,1967,12.24
Australia,1968,10.75
Austria,1968,9.45
Belgium,1968,12.6
Canada,1968,14.08
Czechia,1968,
Denmark,1968,9.82
Estonia,1968,
Finland,1968,11.96
France,1968,15.34
Germany,1968,16.86
Greece,1968,14.19
Hungary,1968,14.5
Iceland,1968,11.14
Ireland,1968,9.31
Italy,1968,11.54
Japan,1968,14.14
Korea,1968,
Lithuania,1968,
Luxembourg,1968,8.76
Netherlands,1968,10.59
New Zealand,1968,9.29
Norway,1968,7.94
Poland,1968,14.5
Portugal,1968,10.09
Slovak Republic,1968,
Slovenia,1968,14.5
Spain,1968,8.88
Sweden,1968,17.75
Switzerland,1968,6.82
United Kingdom,1968,10.89
United States,1968,15.49
TOTAL DAC ,1968,14.5
EU Institutions,1968,12.65
Australia,1969,11.36
Austria,1969,9.77
Belgium,1969,13.06
Canada,1969,14.77
Czechia,1969,
Denmark,1969,10.48
Estonia,1969,
Finland,1969,12.46
France,1969,15.69
Germany,1969,17.86
Greece,1969,14.64
Hungary,1969,15.03
Iceland,1969,9.32
Ireland,1969,10.15
Italy,1969,11.93
Japan,1969,14.93
Korea,1969,
Lithuania,1969,
Luxembourg,1969,9.18
Netherlands,1969,11.35
New Zealand,1969,9.17
Norway,1969,8.27
Poland,1969,15.03
Portugal,1969,10.88
Slovak Republic,1969,
Slovenia,1969,15.03
Spain,1969,9.33
Sweden,1969,18.35
Switzerland,1969,7.0
United Kingdom,1969,11.6
United States,1969,16.25
TOTAL DAC ,1969,15.03
EU Institutions,1969,13.31
Australia,1970,11.84
Austria,1970,10.31
Belgium,1970,13.8
Canada,1970,15.94
Czechia,1970,
Denmark,1970,11.45
Estonia,1970,
Finland,1970,12.93
France,1970,15.56
Germany,1970,13.8
Greece,1970,15.2
Hungary,1970,15.29
Iceland,1970,10.85
Ireland,1970,11.16
Italy,1970,12.75
Japan,1970,15.97
Korea,1970,14.68
Lithuania,1970,
Luxembourg,1970,10.67
Netherlands,1970,12.07
New Zealand,1970,9.97
Norway,1970,9.32
Poland,1970,15.29
Portugal,1970,11.08
Slovak Republic,1970,
Slovenia,1970,15.29
Spain,1970,9.9
Sweden,1970,19.24
Switzerland,1970,7.34
United Kingdom,1970,12.75
United States,1970,17.11
TOTAL DAC ,1970,15.29
EU Institutions,1970,14.17
Australia,1971,12.84
Austria,1971,11.36
Belgium,1971,14.89
Canada,1971,17.31
Czechia,1971,
Denmark,1971,12.46
Estonia,1971,
Finland,1971,13.92
France,1971,16.54
Germany,1971,15.56
Greece,1971,15.65
Hungary,1971,16.34
Iceland,1971,12.24
Ireland,1971,12.58
Italy,1971,13.83
Japan,1971,17.28
Korea,1971,
Lithuania,1971,
Luxembourg,1971,10.82
Netherlands,1971,13.5
New Zealand,1971,11.61
Norway,1971,10.06
Poland,1971,16.34
Portugal,1971,11.8
Slovak Republic,1971,
Slovenia,1971,16.34
Spain,1971,10.75
Sweden,1971,20.92
Switzerland,1971,8.39
United Kingdom,1971,14.08
United States,1971,17.98
TOTAL DAC ,1971,16.34
EU Institutions,1971,15.15
Australia,1972,14.45
Austria,1972,13.18
Belgium,1972,17.49
Canada,1972,18.67
Czechia,1972,
Denmark,1972,14.5
Estonia,1972,
Finland,1972,15.26
France,1972,19.29
Germany,1972,17.76
Greece,1972,16.44
Hungary,1972,17.98
Iceland,1972,14.51
Ireland,1972,14.58
Italy,1972,15.54
Japan,1972,20.67
Korea,1972,
Lithuania,1972,
Luxembourg,1972,12.63
Netherlands,1972,16.08
New Zealand,1972,13.39
Norway,1972,11.34
Poland,1972,17.98
Portugal,1972,13.28
Slovak Republic,1972,
Slovenia,1972,17.98
Spain,1972,12.61
Sweden,1972,24.0
Switzerland,1972,9.93
United Kingdom,1972,15.48
United States,1972,18.76
TOTAL DAC ,1972,17.98
EU Institutions,1972,16.1
Australia,1973,19.54
Austria,1973,16.8
Belgium,1973,21.15
Canada,1973,20.28
Czechia,1973,
Denmark,1973,18.55
Estonia,1973,
Finland,1973,19.0
France,1973,23.57
Germany,1973,22.53
Greece,1973,20.12
Hungary,1973,20.81
Iceland,1973,18.11
Ireland,1973,16.49
Italy,1973,17.6
Japan,1973,26.43
Korea,1973,
Lithuania,1973,
Luxembourg,1973,16.01
Netherlands,1973,20.14
New Zealand,1973,16.45
Norway,1973,14.13
Poland,1973,20.81
Portugal,1973,16.11
Slovak Republic,1973,
Slovenia,1973,20.81
Spain,1973,15.6
Sweden,1973,28.1
Switzerland,1973,12.94
United Kingdom,1973,16.52
United States,1973,19.79
TOTAL DAC ,1973,20.81
EU Institutions,1973,17.49
Australia,1974,23.26
Austria,1974,19.28
Belgium,1974,23.81
Canada,1974,23.88
Czechia,1974,
Denmark,1974,20.82
Estonia,1974,
Finland,1974,23.6
France,1974,24.41
Germany,1974,24.97
Greece,1974,24.41
Hungary,1974,22.88
Iceland,1974,23.41
Ireland,1974,16.7
Italy,1974,18.93
Japan,1974,29.7
Korea,1974,
Lithuania,1974,
Luxembourg,1974,18.73
Netherlands,1974,22.85
New Zealand,1974,17.48
Norway,1974,16.34
Poland,1974,22.88
Portugal,1974,18.49
Slovak Republic,1974,
Slovenia,1974,22.88
Spain,1974,18.25
Sweden,1974,30.21
Switzerland,1974,14.72
United Kingdom,1974,18.33
United States,1974,21.57
TOTAL DAC ,1974,22.88
EU Institutions,1974,20.43
Australia,1975,24.17
Austria,1975,22.02
Belgium,1975,28.28
Canada,1975,25.45
Czechia,1975,
Denmark,1975,25.02
Estonia,1975,
Finland,1975,27.44
France,1975,31.15
Germany,1975,27.73
Greece,1975,25.87
Hungary,1975,25.92
Iceland,1975,21.32
Ireland,1975,18.99
Italy,1975,21.96
Japan,1975,31.3
Korea,1975,22.1
Lithuania,1975,
Luxembourg,1975,19.67
Netherlands,1975,26.75
New Zealand,1975,17.2
Norway,1975,18.81
Poland,1975,25.92
Portugal,1975,21.3
Slovak Republic,1975,
Slovenia,1975,25.92
Spain,1975,21.4
Sweden,1975,36.95
Switzerland,1975,18.19
United Kingdom,1975,21.87
United States,1975,23.56
TOTAL DAC ,1975,25.92
EU Institutions,1975,24.18
Australia,1976,25.45
Austria,1976,22.59
Belgium,1976,28.99
Canada,1976,28.69
Czechia,1976,
Denmark,1976,26.0
Estonia,1976,
Finland,1976,29.49
France,1976,30.95
Germany,1976,27.99
Greece,1976,26.41
Hungary,1976,26.82
Iceland,1976,23.85
Ireland,1976,18.65
Italy,1976,20.31
Japan,1976,33.84
Korea,1976,
Lithuania,1976,
Luxembourg,1976,21.03
Netherlands,1976,27.89
New Zealand,1976,17.12
Norway,1976,19.4
Poland,1976,26.82
Portugal,1976,20.93
Slovak Republic,1976,
Slovenia,1976,26.82
Spain,1976,21.38
Sweden,1976,39.4
Switzerland,1976,19.3
United Kingdom,1976,20.51
United States,1976,24.86
TOTAL DAC ,1976,26.82
EU Institutions,1976,22.34
Australia,1977,25.3
Austria,1977,25.8
Belgium,1977,33.57
Canada,1977,28.41
Czechia,1977,
Denmark,1977,28.51
Estonia,1977,
Finland,1977,31.03
France,1977,32.74
Germany,1977,31.29
Greece,1977,29.79
Hungary,1977,29.06
Iceland,1977,28.96
Ireland,1977,20.51
Italy,1977,22.73
Japan,1977,39.89
Korea,1977,
Lithuania,1977,
Luxembourg,1977,22.92
Netherlands,1977,32.05
New Zealand,1977,19.46
Norway,1977,21.51
Poland,1977,29.06
Portugal,1977,20.86
Slovak Republic,1977,
Slovenia,1977,29.06
Spain,1977,23.23
Sweden,1977,42.34
Switzerland,1977,20.12
United Kingdom,1977,22.67
United States,1977,26.41
TOTAL DAC ,1977,29.06
EU Institutions,1977,24.95
Australia,1978,28.24
Austria,1978,31.1
Belgium,1978,39.88
Canada,1978,28.29
Czechia,1978,
Denmark,1978,33.82
Estonia,1978,
Finland,1978,32.8
France,1978,38.96
Germany,1978,37.46
Greece,1978,33.99
Hungary,1978,33.24
Iceland,1978,31.1
Ireland,1978,24.93
Italy,1978,26.82
Japan,1978,53.25
Korea,1978,
Lithuania,1978,
Luxembourg,1978,27.41
Netherlands,1978,38.28
New Zealand,1978,23.53
Norway,1978,23.18
Poland,1978,33.24
Portugal,1978,22.21
Slovak Republic,1978,
Slovenia,1978,33.24
Spain,1978,27.77
Sweden,1978,46.02
Switzerland,1978,28.03
United Kingdom,1978,27.87
United States,1978,28.26
TOTAL DAC ,1978,33.24
EU Institutions,1978,30.17
Australia,1979,30.22
Austria,1979,35.19
Belgium,1979,44.79
Canada,1979,30.32
Czechia,1979,
Denmark,1979,37.94
Estonia,1979,
Finland,1979,37.6
France,1979,45.59
Germany,1979,42.81
Greece,1979,40.48
Hungary,1979,38.05
Iceland,1979,33.58
Ireland,1979,30.24
Italy,1979,31.76
Japan,1979,52.52
Korea,1979,
Lithuania,1979,
Luxembourg,1979,31.33
Netherlands,1979,42.99
New Zealand,1979,26.09
Norway,1979,25.36
Poland,1979,38.05
Portugal,1979,23.83
Slovak Republic,1979,
Slovenia,1979,38.05
Spain,1979,37.09
Sweden,1979,52.34
Switzerland,1979,30.73
United Kingdom,1979,35.23
United States,1979,30.61
TOTAL DAC ,1979,38.05
EU Institutions,1979,35.29
Australia,1980,33.86
Austria,1980,38.39
Belgium,1980,46.72
Canada,1980,33.36
Czechia,1980,
Denmark,1980,38.53
Estonia,1980,
Finland,1980,43.15
France,1980,51.27
Germany,1980,45.53
Greece,1980,41.95
Hungary,1980,41.23
Iceland,1980,37.81
Ireland,1980,34.82
Italy,1980,37.4
Japan,1980,53.54
Korea,1980,43.98
Lithuania,1980,
Luxembourg,1980,33.88
Netherlands,1980,45.77
New Zealand,1980,28.64
Norway,1980,29.42
Poland,1980,41.23
Portugal,1980,28.18
Slovak Republic,1980,
Slovenia,1980,41.23
Spain,1980,39.39
Sweden,1980,59.26
Switzerland,1980,31.32
United Kingdom,1980,46.44
United States,1980,33.37
TOTAL DAC ,1980,41.23
EU Institutions,1980,39.52
Australia,1981,37.52
Austria,1981,33.29
Belgium,1981,38.69
Canada,1981,35.89
Czechia,1981,
Denmark,1981,33.76
Estonia,1981,
Finland,1981,41.62
France,1981,44.53
Germany,1981,38.15
Greece,1981,39.3
Hungary,1981,40.37
Iceland,1981,37.46
Ireland,1981,32.01
Italy,1981,33.44
Japan,1981,56.78
Korea,1981,
Lithuania,1981,
Luxembourg,1981,28.61
Netherlands,1981,38.43
New Zealand,1981,29.49
Norway,1981,28.61
Poland,1981,40.37
Portugal,1981,26.93
Slovak Republic,1981,
Slovenia,1981,40.37
Spain,1981,34.41
Sweden,1981,53.88
Switzerland,1981,28.19
United Kingdom,1981,45.11
United States,1981,36.53
TOTAL DAC ,1981,40.37
EU Institutions,1981,34.75
Australia,1982,37.09
Austria,1982,32.74
Belgium,1982,33.82
Canada,1982,37.97
Czechia,1982,
Denmark,1982,31.77
Estonia,1982,
Finland,1982,40.58
France,1982,41.28
Germany,1982,37.15
Greece,1982,41.51
Hungary,1982,39.31
Iceland,1982,33.72
Ireland,1982,32.55
Italy,1982,33.02
Japan,1982,51.07
Korea,1982,
Lithuania,1982,
Luxembourg,1982,25.76
Netherlands,1982,37.85
New Zealand,1982,29.12
Norway,1982,28.09
Poland,1982,39.31
Portugal,1982,25.19
Slovak Republic,1982,
Slovenia,1982,39.31
Spain,1982,32.84
Sweden,1982,46.9
Switzerland,1982,29.32
United Kingdom,1982,42.35
United States,1982,38.79
TOTAL DAC ,1982,39.31
EU Institutions,1982,33.55
Australia,1983,35.77
Austria,1983,32.16
Belgium,1983,31.93
Canada,1983,40.2
Czechia,1983,
Denmark,1983,31.09
Estonia,1983,
Finland,1983,38.01
France,1983,39.02
Germany,1983,36.3
Greece,1983,37.97
Hungary,1983,39.37
Iceland,1983,29.58
Ireland,1983,31.54
Italy,1983,33.85
Japan,1983,54.05
Korea,1983,
Lithuania,1983,
Luxembourg,1983,24.59
Netherlands,1983,36.16
New Zealand,1983,27.93
Norway,1983,26.57
Poland,1983,39.37
Portugal,1983,22.49
Slovak Republic,1983,
Slovenia,1983,39.37
Spain,1983,28.11
Sweden,1983,42.26
Switzerland,1983,29.04
United Kingdom,1983,38.79
United States,1983,40.31
TOTAL DAC ,1983,39.37
EU Institutions,1983,32.91
Australia,1984,36.85
Austria,1984,30.31
Belgium,1984,29.8
Canada,1984,39.6
Czechia,1984,
Denmark,1984,29.09
Estonia,1984,
Finland,1984,38.23
France,1984,36.44
Germany,1984,33.21
Greece,1984,36.12
Hungary,1984,38.68
Iceland,1984,29.4
Ireland,1984,29.26
Italy,1984,32.41
Japan,1984,54.97
Korea,1984,
Lithuania,1984,
Luxembourg,1984,22.73
Netherlands,1984,32.61
New Zealand,1984,25.59
Norway,1984,25.23
Poland,1984,38.68
Portugal,1984,21.22
Slovak Republic,1984,
Slovenia,1984,38.68
Spain,1984,27.81
Sweden,1984,42.15
Switzerland,1984,26.92
United Kingdom,1984,35.83
United States,1984,41.76
TOTAL DAC ,1984,38.68
EU Institutions,1984,30.96
Australia,1985,31.04
Austria,1985,30.19
Belgium,1985,30.3
Canada,1985,38.81
Czechia,1985,
Denmark,1985,29.66
Estonia,1985,
Finland,1985,39.04
France,1985,37.37
Germany,1985,32.79
Greece,1985,35.08
Hungary,1985,38.75
Iceland,1985,29.67
Ireland,1985,30.03
Italy,1985,32.56
Japan,1985,55.29
Korea,1985,43.33
Lithuania,1985,
Luxembourg,1985,22.78
Netherlands,1985,32.06
New Zealand,1985,25.37
Norway,1985,25.2
Poland,1985,38.75
Portugal,1985,22.26
Slovak Republic,1985,
Slovenia,1985,38.75
Spain,1985,28.56
Sweden,1985,43.14
Switzerland,1985,26.32
United Kingdom,1985,36.43
United States,1985,43.08
TOTAL DAC ,1985,38.75
EU Institutions,1985,31.5
Australia,1986,31.76
Austria,1986,42.11
Belgium,1986,41.43
Canada,1986,39.33
Czechia,1986,
Denmark,1986,39.74
Estonia,1986,
Finland,1986,49.99
France,1986,50.92
Germany,1986,45.78
Greece,1986,41.28
Hungary,1986,47.16
Iceland,1986,37.35
Ireland,1986,40.53
Italy,1986,44.81
Japan,1986,79.69
Korea,1986,44.96
Lithuania,1986,
Luxembourg,1986,30.26
Netherlands,1986,43.53
New Zealand,1986,33.05
Norway,1986,29.14
Poland,1986,47.16
Portugal,1986,30.74
Slovak Republic,1986,
Slovenia,1986,47.16
Spain,1986,38.47
Sweden,1986,55.38
Switzerland,1986,37.07
United Kingdom,1986,43.47
United States,1986,43.95
TOTAL DAC ,1986,47.16
EU Institutions,1986,42.69
Australia,1987,35.51
Austria,1987,52.09
Belgium,1987,50.4
Canada,1987,43.18
Czechia,1987,
Denmark,1987,49.24
Estonia,1987,
Finland,1987,60.46
France,1987,60.15
Germany,1987,56.02
Greece,1987,49.09
Hungary,1987,54.66
Iceland,1987,47.61
Ireland,1987,45.99
Italy,1987,54.61
Japan,1987,92.76
Korea,1987,50.33
Lithuania,1987,
Luxembourg,1987,36.24
Netherlands,1987,52.27
New Zealand,1987,41.17
Norway,1987,34.28
Poland,1987,54.66
Portugal,1987,35.62
Slovak Republic,1987,
Slovenia,1987,54.66
Spain,1987,46.19
Sweden,1987,65.16
Switzerland,1987,45.69
United Kingdom,1987,51.17
United States,1987,45.04
TOTAL DAC ,1987,54.66
EU Institutions,1987,51.57
Australia,1988,42.91
Austria,1988,54.16
Belgium,1988,52.3
Canada,1988,48.63
Czechia,1988,
Denmark,1988,52.01
Estonia,1988,
Finland,1988,68.51
France,1988,62.61
Germany,1988,58.31
Greece,1988,54.65
Hungary,1988,58.74
Iceland,1988,52.67
Ireland,1988,48.61
Italy,1988,58.04
Japan,1988,105.06
Korea,1988,60.94
Lithuania,1988,
Luxembourg,1988,37.82
Netherlands,1988,54.27
New Zealand,1988,48.84
Norway,1988,37.16
Poland,1988,58.74
Portugal,1988,38.73
Slovak Republic,1988,
Slovenia,1988,58.74
Spain,1988,51.89
Sweden,1988,71.84
Switzerland,1988,47.85
United Kingdom,1988,59.08
United States,1988,46.63
TOTAL DAC ,1988,58.74
EU Institutions,1988,54.74
Australia,1989,46.85
Austria,1989,52.03
Belgium,1989,51.15
Canada,1989,52.94
Czechia,1989,
Denmark,1989,50.26
Estonia,1989,
Finland,1989,70.9
France,1989,60.37
Germany,1989,56.04
Greece,1989,54.69
Hungary,1989,59.39
Iceland,1989,48.78
Ireland,1989,47.74
Italy,1989,58.49
Japan,1989,99.69
Korea,1989,70.5
Lithuania,1989,
Luxembourg,1989,36.72
Netherlands,1989,51.27
New Zealand,1989,46.75
Norway,1989,37.05
Poland,1989,59.39
Portugal,1989,39.22
Slovak Republic,1989,
Slovenia,1989,59.39
Spain,1989,54.57
Sweden,1989,73.72
Switzerland,1989,44.28
United Kingdom,1989,58.68
United States,1989,48.46
TOTAL DAC ,1989,59.39
EU Institutions,1989,53.14
Australia,1990,48.49
Austria,1990,62.37
Belgium,1990,62.0
Canada,1990,55.53
Czechia,1990,
Denmark,1990,60.94
Estonia,1990,
Finland,1990,83.67
France,1990,72.62
Germany,1990,67.41
Greece,1990,67.62
Hungary,1990,64.98
Iceland,1990,54.96
Ireland,1990,55.31
Italy,1990,72.56
Japan,1990,97.16
Korea,1990,73.36
Lithuania,1990,
Luxembourg,1990,44.37
Netherlands,1990,60.65
New Zealand,1990,48.05
Norway,1990,42.42
Poland,1990,0.0
Portugal,1990,48.99
Slovak Republic,1990,
Slovenia,1990,64.98
Spain,1990,68.02
Sweden,1990,87.9
Switzerland,1990,54.55
United Kingdom,1990,69.16
United States,1990,50.27
TOTAL DAC ,1990,64.98
EU Institutions,1990,64.08
Australia,1991,49.41
Austria,1991,62.97
Belgium,1991,62.4
Canada,1991,58.28
Czechia,1991,
Denmark,1991,60.54
Estonia,1991,
Finland,1991,80.3
France,1991,71.88
Germany,1991,67.69
Greece,1991,70.39
Hungary,1991,39.19
Iceland,1991,58.84
Ireland,1991,54.78
Italy,1991,75.4
Japan,1991,107.33
Korea,1991,77.32
Lithuania,1991,
Luxembourg,1991,44.2
Netherlands,1991,60.9
New Zealand,1991,46.8
Norway,1991,41.85
Poland,1991,0.0
Portugal,1991,53.16
Slovak Republic,1991,
Slovenia,1991,67.77
Spain,1991,71.34
Sweden,1991,93.14
Switzerland,1991,55.7
United Kingdom,1991,73.31
United States,1991,51.97
TOTAL DAC ,1991,67.77
EU Institutions,1991,65.08
Australia,1992,46.91
Austria,1992,69.19
Belgium,1992,68.58
Canada,1992,56.06
Czechia,1992,
Denmark,1992,65.15
Estonia,1992,
Finland,1992,73.02
France,1992,78.12
Germany,1992,75.7
Greece,1992,77.24
Hungary,1992,45.08
Iceland,1992,62.42
Ireland,1992,59.57
Italy,1992,79.24
Japan,1992,115.75
Korea,1992,78.33
Lithuania,1992,
Luxembourg,1992,48.73
Netherlands,1992,66.37
New Zealand,1992,44.27
Norway,1992,43.39
Poland,1992,0.0
Portugal,1992,63.45
Slovak Republic,1992,
Slovenia,1992,71.35
Spain,1992,77.27
Sweden,1992,97.68
Switzerland,1992,58.02
United Kingdom,1992,75.34
United States,1992,53.15
TOTAL DAC ,1992,71.35
EU Institutions,1992,71.33
Australia,1993,43.88
Austria,1993,67.18
Belgium,1993,66.36
Canada,1993,53.2
Czechia,1993,28.7
Denmark,1993,61.04
Estonia,1993,
Finland,1993,58.27
France,1993,74.23
Germany,1993,74.3
Greece,1993,73.49
Hungary,1993,46.98
Iceland,1993,54.15
Ireland,1993,53.88
Italy,1993,64.53
Japan,1993,132.46
Korea,1993,80.91
Lithuania,1993,
Luxembourg,1993,48.05
Netherlands,1993,63.84
New Zealand,1993,45.49
Norway,1993,38.88
Poland,1993,44.99
Portugal,1993,57.16
Slovak Republic,1993,34.14
Slovenia,1993,69.75
Spain,1993,65.01
Sweden,1993,74.68
Switzerland,1993,56.48
United Kingdom,1993,66.39
United States,1993,54.41
TOTAL DAC ,1993,69.75
EU Institutions,1993,66.91
Australia,1994,47.79
Austria,1994,70.16
Belgium,1994,69.96
Canada,1994,50.98
Czechia,1994,32.27
Denmark,1994,63.19
Estonia,1994,
Finland,1994,65.0
France,1994,76.35
Germany,1994,77.24
Greece,1994,77.27
Hungary,1994,49.08
Iceland,1994,53.69
Ireland,1994,55.91
Italy,1994,65.12
Japan,1994,144.29
Korea,1994,87.3
Lithuania,1994,
Luxembourg,1994,51.37
Netherlands,1994,66.51
New Zealand,1994,50.18
Norway,1994,39.03
Poland,1994,49.27
Portugal,1994,59.34
Slovak Republic,1994,37.19
Slovenia,1994,73.15
Spain,1994,64.14
Sweden,1994,77.33
Switzerland,1994,61.77
United Kingdom,1994,68.93
United States,1994,55.58
TOTAL DAC ,1994,73.15
EU Institutions,1994,69.72
Australia,1995,49.87
Austria,1995,80.9
Belgium,1995,80.32
Canada,1995,51.88
Czechia,1995,38.58
Denmark,1995,72.64
Estonia,1995,
Finland,1995,81.0
France,1995,85.93
Germany,1995,89.21
Greece,1995,88.74
Hungary,1995,52.01
Iceland,1995,59.76
Ireland,1995,61.77
Italy,1995,67.64
Japan,1995,155.89
Korea,1995,97.42
Lithuania,1995,
Luxembourg,1995,59.63
Netherlands,1995,76.95
New Zealand,1995,56.78
Norway,1995,44.79
Poland,1995,59.1
Portugal,1995,67.96
Slovak Republic,1995,44.03
Slovenia,1995,81.97
Spain,1995,72.31
Sweden,1995,86.8
Switzerland,1995,71.96
United Kingdom,1995,72.93
United States,1995,56.74
TOTAL DAC ,1995,81.97
EU Institutions,1995,78.71
Australia,1996,53.77
Austria,1996,77.87
Belgium,1996,76.86
Canada,1996,53.12
Czechia,1996,41.45
Denmark,1996,71.61
Estonia,1996,
Finland,1996,76.96
France,1996,84.99
Germany,1996,85.46
Greece,1996,91.14
Hungary,1996,52.25
