year,Sector,Gender-related ODA to,Share,Donor
2021,Energy,140.4,2.0%,EU Institutions
2020,Food aid and commodity assistance,123.2,1.0%,EU Institutions
2019,Environmental protection,116.61,2.0%,EU Institutions
2021,"Industry, construction & mining",113.07,1.0%,EU Institutions
2019,"Industry, construction & mining",111.07,2.0%,EU Institutions
2020,"Industry, construction & mining",100.27,1.0%,EU Institutions
2019,Infrastructure,84.94,1.0%,EU Institutions
2023,Disaster Prevention & Preparedness,66.66,1.0%,EU Institutions
2021,Infrastructure,66.37,1.0%,EU Institutions
2023,Trade policy,65.19,1.0%,EU Institutions
2021,Trade policy,59.97,1.0%,EU Institutions
2019,Food aid and commodity assistance,58.83,1.0%,EU Institutions
2019,Trade policy,55.61,1.0%,EU Institutions
2021,Food aid and commodity assistance,54.45,1.0%,EU Institutions
2020,Trade policy,52.21,1.0%,EU Institutions
2020,Infrastructure,49.76,1.0%,EU Institutions
2022,Trade policy,45.91,0.0%,EU Institutions
2022,Disaster Prevention & Preparedness,37.9,0.0%,EU Institutions
2023,Unspecified,37.88,0.0%,EU Institutions
2022,Food aid and commodity assistance,32.02,0.0%,EU Institutions
2022,Reconstruction Relief & Rehabilitation,30.67,0.0%,EU Institutions
2021,Disaster Prevention & Preparedness,29.5,0.0%,EU Institutions
2019,Disaster Prevention & Preparedness,25.66,0.0%,EU Institutions
2019,Reconstruction Relief & Rehabilitation,25.28,0.0%,EU Institutions
2020,Disaster Prevention & Preparedness,23.73,0.0%,EU Institutions
2023,Food aid and commodity assistance,21.94,0.0%,EU Institutions
2023,Reconstruction Relief & Rehabilitation,20.61,0.0%,EU Institutions
2021,Unspecified,15.6,0.0%,EU Institutions
2019,Unspecified,13.63,0.0%,EU Institutions
2022,Unspecified,13.2,0.0%,EU Institutions
2023,,13.16,0.0%,EU Institutions
2020,Reconstruction Relief & Rehabilitation,9.7,0.0%,EU Institutions
2022,,8.95,0.0%,EU Institutions
2020,Unspecified,8.92,0.0%,EU Institutions
2021,Reconstruction Relief & Rehabilitation,8.66,0.0%,EU Institutions
2019,Tourism,7.56,0.0%,EU Institutions
2023,Tourism,7.55,0.0%,EU Institutions
2021,Tourism,6.12,0.0%,EU Institutions
2020,Tourism,5.46,0.0%,EU Institutions
2021,,5.44,0.0%,EU Institutions
2022,Tourism,4.24,0.0%,EU Institutions
2020,,0.0,0.0%,EU Institutions
